number;new_version;baseline;date;message
26;a9d76b06;f6114345; Sat Apr 10 13:24:18 2021 +0100; Improve documentation on OpenTSDB migration tool and fix a bug with hard offsets (#1198)
25;cd9786c2;f6114345; Thu Apr 8 20:58:06 2021 +0100; OpenTSDB migration to VictoriaMetrics (#1089)
24;162681e6;f6114345; Thu Apr 8 18:24:25 2021 +0300; add new alerts (#1195)
23;4ed8de62;f6114345; Thu Apr 8 18:19:08 2021 +0300; vmalert: document template functions and mention them in README (#1197)
22;c6a8ebb1;f6114345; Wed Apr 7 13:39:16 2021 +0300; docs: update docs ordering and formatting (#1192)
21;b59164cf;f6114345; Mon Apr 5 22:25:31 2021 +0300; fix access to nil *url.URL (#1180)
20;a4c6a3b3;f6114345; Sun Apr 4 01:29:54 2021 +0300; adds socks5 support for fasthttp client (#1178)
19;fdb89956;f6114345; Fri Apr 2 11:56:40 2021 +0300; Adds aws ECS credentials support (#1175)
18;db963205;f6114345; Wed Mar 31 17:42:08 2021 +0300; Add `vmutils-pure` target (#1163)
17;2af39a96;f6114345; Tue Mar 30 20:43:54 2021 +0300; deployment: Grafana version updated to 7.5.1 (#1161)
16;cfdb6762;f6114345; Mon Mar 29 12:38:03 2021 +0300; deployment: add new alert `TooHighChurnRate24h` (#1154)
15;b1e49bab;f6114345; Mon Mar 29 12:37:17 2021 +0300; Dashboards update (#1153)
14;1b7dc1e5;f6114345; Fri Mar 26 14:17:59 2021 +0300; Adds blocks drop (#1151)
13;29f9ef9b;f6114345; Tue Mar 23 15:35:01 2021 +0200; changes consul_service label value (#1143)
12;529d7be2;f6114345; Thu Mar 18 16:12:02 2021 +0200; changes metricsFind api (#1137)
11;18cfc4be;f6114345; Wed Mar 17 00:03:06 2021 +0200; Adds udp6 support for ingest servers (#1134)
10;b1aa8c3d;f6114345; Mon Mar 15 21:10:47 2021 +0200; adds fake response for telegraph queries (#1130)
9;b457739f;f6114345; Mon Mar 15 12:04:24 2021 +0200; Single dashboard (#1126)
8;238fe7d4;f6114345; Thu Mar 11 11:39:14 2021 +0200; Update BestPractices.md (#1123)
7;d212f35a;f6114345; Tue Mar 9 20:49:50 2021 +0000; Fixing examples of external.alert.source in documentation (#1120)
6;ad34f424;f6114345; Tue Mar 9 18:51:00 2021 +0200; Changes tlsConfig init for proxy connections (#1121)
5;433fff00;f6114345; Tue Mar 9 12:26:23 2021 +0200; duplicate timeseries fix for prometheus_buckets function (#1119)
4;364fdf4a;f6114345; Tue Mar 9 09:18:19 2021 +0200; spelling fix: adjacent (#1115)
3;621bf037;f6114345; Wed Mar 3 10:51:51 2021 +0200; Vmagent docs upd (#1104)
2;e154f4a6;f6114345; Wed Mar 3 10:43:39 2021 +0200; Fix ingress discovery api (#1110)
1;f4f8f218;f6114345; Wed Mar 3 07:46:10 2021 +0000; vmalert: docs update - status endpoint needs group ID, not group name (#1106)
0;f4f8f218;f4f8f218; Wed Mar 3 07:46:10 2021 +0000; vmalert: docs update - status endpoint needs group ID, not group name (#1106)
